time,name,country,event,gender,year
31:12.9,Sara Moreira (Portugal),Portugal,10000m,female,2015
31:13.3,Vivian Cheruiyot (Kenya),Kenya,10000m,female,2015
31:23.6,Yeshaneh Ababel (Ethiopia),Ethiopia,10000m,female,2015
31:24.2,Alice Nawowuna (Kenya),Kenya,10000m,female,2015
31:32.0,Susan Kuijken (Holland),Holland,10000m,female,2015
31:33.3,Buze Diriba (Ethiopia),Ethiopia,10000m,female,2015
31:34.2,Dulce Félix (Portugal),Portugal,10000m,female,2015
31:35.5,Jip Vastenburg (Holland),Holland,10000m,female,2015
31:36.9,Gladys Chesire (Kenya),Kenya,10000m,female,2015
31:37.3,Yuka Takashima (Japan),Japan,10000m,female,2015
31:38.0,Emily Sisson (US),United States,10000m,female,2015
31:38.7,Emily Infeld (US),United States,10000m,female,2015
31:39.2,Molly Huddle (US),United States,10000m,female,2015
31:41.4,Kate Avery (Great Britain),Great Britain,10000m,female,2015
31:41.6,Natasha Wodak (Canada),Canada,10000m,female,2015
31:44.4,Sally Kipyego (Kenya),Kenya,10000m,female,2015
31:44.8,Mao Kiyota (Japan),Japan,10000m,female,2015
31:44.9,Riko Matsuzaki (Japan),Japan,10000m,female,2015
31:45.2,Brenda Flores (Mexico),Mexico,10000m,female,2015
31:46.6,Ayumi Hagiwara (Japan),Japan,10000m,female,2015
31:46.9,Lanni Marchant (Canada),Canada,10000m,female,2015
31:48.2,Ayuko Suzuki (Japan),Japan,10000m,female,2015
31:48.2,Eri Makikawa (Japan),Japan,10000m,female,2015
31:48.3,Rei Ohara (Japan),Japan,10000m,female,2015
31:50.0,Alisha Williams (US),United States,10000m,female,2015
31:51.3,Betsy Saina (Kenya),Kenya,10000m,female,2015
31:52.3,Alia Saeed (United Arab Emirates),United Arab Emirates,10000m,female,2015
31:54.4,Mattie Suver (US),United States,10000m,female,2015
31:56.6,Inés Melchor (Peru),Peru,10000m,female,2015
31:56.9,Yuki Mitsunobu (Japan),Japan,10000m,female,2015
31:57.4,Grace Kimanzi (Kenya),Kenya,10000m,female,2015
31:57.8,Sule Utura (Ethiopia),Ethiopia,10000m,female,2015
2:19:25,Gladys Cherono (Kenya),Kenya,marathon,female,2015
2:19:52,Mare Dibaba (Ethiopia),Ethiopia,marathon,female,2015
2:20:02,Aselefech Mergia (Ethiopia),Ethiopia,marathon,female,2015
2:20:21,Lucy Kabuu (Kenya),Kenya,marathon,female,2015
2:20:48,Aberu Kebede (Ethiopia),Ethiopia,marathon,female,2015
2:20:59,Shure Demise (Ethiopia),Ethiopia,marathon,female,2015
2:21:56,Mulu Seboka (Ethiopia),Ethiopia,marathon,female,2015
2:22:08,Eunice Jepkirui (Bahrain),Bahrain,marathon,female,2015
2:22:48,Sairi Maeda (Japan),Japan,marathon,female,2015
2:22:51,Tadelech Bekele (Ethiopia),Ethiopia,marathon,female,2015
2:23:06,Aliaksandra Duliba (Belarus),Belarus,marathon,female,2015
2:23:12,Dinknesh Mekasha (Ethiopia),Ethiopia,marathon,female,2015
2:23:12,Gulume Tollesa (Ethiopia),Ethiopia,marathon,female,2015
